iter	Passed	Remaining
407	4831	7010
408	4844	6999
409	4855	6987
410	4867	6975
411	4879	6963
412	4891	6952
413	4904	6941
414	4915	6929
415	4926	6916
416	4938	6905
417	4951	6893
418	4963	6881
419	4974	6869
420	4986	6858
421	4999	6847
422	5011	6835
423	5022	6822
424	5032	6808
425	5042	6794
426	5054	6783
427	5067	6771
428	5079	6760
429	5090	6748
430	5102	6736
431	5115	6726
432	5127	6713
433	5139	6702
434	5151	6691
435	5162	6678
436	5174	6665
437	5186	6654
438	5197	6642
439	5209	6629
440	5227	6625
441	5245	6622
442	5262	6616
443	5275	6606
444	5289	6597
445	5306	6590
446	5321	6582
447	5335	6574
448	5350	6566
449	5364	6556
450	5376	6544
451	5389	6534
452	5402	6523
453	5415	6513
454	5428	6502
455	5441	6491
456	5453	6479
457	5465	6467
458	5482	6462
459	5494	6449
460	5506	6437
461	5517	6425
462	5529	6412
463	5540	6400
464	5552	6388
465	5564	6376
466	5576	6364
467	5587	6351
468	5598	6338
469	5608	6324
470	5618	6310
471	5628	6295
472	5639	6282
473	5649	6269
474	5660	6256
475	5672	6244
476	5683	6231
477	5694	6218
478	5704	6204
479	5713	6190
480	5723	6176
481	5734	6162
482	5744	6149
483	5755	6135
484	5766	6123
485	5776	6109
486	5788	6097
487	5797	6083
488	5808	6069
489	5818	6055
490	5828	6042
491	5839	6029
492	5849	6015
493	5859	6002
494	5869	5988
495	5880	5975
496	5895	5966
497	5905	5952
498	5915	5939
499	5924	5924
500	5935	5911
501	5945	5898
502	5956	5885
503	5968	5873
504	5977	5859
505	5987	5845
506	5998	5832
507	6008	5818
508	6017	5804
509	6027	5790
510	6037	5777
511	6047	5763
512	6057	5750
513	6067	5737
514	6078	5724
515	6088	5711
516	6099	5698
517	6109	5684
518	6119	5671
519	6129	5658
520	6139	5644
521	6150	5631
522	6161	5619
523	6172	5606
524	6181	5593
525	6191	5579
526	6201	5566
527	6211	5552
528	6221	5539
529	6231	5526
530	6241	5512
531	6252	5500
532	6262	5487
533	6273	5474
534	6283	5461
535	6294	5448
536	6303	5435
537	6314	5422
538	6325	5410
539	6336	5397
540	6346	5384
541	6357	5372
542	6369	5360
543	6381	5349
544	6392	5336
545	6402	5323
546	6413	5310
547	6423	5298
548	6433	5285
549	6444	5272
550	6453	5258
551	6468	5249
552	6482	5240
553	6496	5230
554	6512	5221
555	6528	5213
556	6546	5206
557	6559	5195
558	6571	5184
559	6584	5173
560	6597	5162
561	6609	5151
562	6621	5139
563	6633	5128
564	6645	5116
565	6657	5105
566	6669	5093
567	6680	5081
568	6692	5069
569	6705	5058
570	6717	5047
571	6729	5035
572	6741	5023
573	6753	5012
574	6764	5000
575	6776	4988
576	6787	4976
577	6799	4964
578	6810	4951
579	6821	4939
580	6832	4927
581	6843	4914
582	6855	4903
583	6867	4892
584	6878	4879
585	6888	4866
586	6899	4854
587	6909	4841
588	6919	4828
589	6929	4815
590	6940	4803
591	6951	4791
592	6962	4778
593	6972	4765
594	6982	4752
595	6993	4740
596	7003	4727
597	7013	4714
598	7023	4701
599	7034	4689
600	7043	4676
601	7053	4663
602	7064	4651
603	7073	4637
604	7083	4625
605	7093	4612
606	7103	4599
607	7113	4586
608	7123	4573
609	7133	4561
610	7144	4548
611	7155	4536
612	7166	4524
613	7178	4512
614	7187	4499
615	7197	4487
616	7207	4473
617	7217	4461
618	7227	4448
619	7237	4435
620	7247	4423
621	7258	4411
622	7268	4398
623	7279	4386
624	7288	4373
625	7298	4360
626	7308	4348
627	7319	4335
628	7328	4322
629	7340	4311
630	7351	4299
631	7362	4286
632	7372	4274
633	7383	4262
634	7393	4250
635	7403	4237
636	7413	4224
637	7423	4212
638	7433	4199
639	7443	4187
640	7453	4174
641	7463	4162
642	7474	4149
643	7483	4137
644	7493	4124
645	7504	4112
646	7515	4100
647	7524	4087
648	7535	4075
649	7545	4062
650	7556	4050
651	7567	4038
652	7579	4027
653	7590	4015
654	7600	4003
655	7610	3990
656	7620	3978
657	7630	3966
658	7640	3953
659	7650	3941
660	7660	3928
661	7671	3916
662	7681	3904
663	7690	3891
664	7700	3879
665	7710	3866
666	7719	3854
667	7729	3841
668	7739	3829
669	7749	3816
670	7759	3804
671	7775	3795
672	7790	3785
673	7802	3774
674	7815	3762
675	7827	3751
676	7840	3740
677	7852	3729
678	7865	3718
679	7877	3706
680	7889	3695
681	7900	3683
682	7912	3672
683	7925	3661
684	7937	3649
685	7948	3638
686	7960	3626
687	7971	3615
688	7983	3603
689	7996	3592
690	8008	3581
691	8019	3569
692	8031	3557
693	8043	3546
694	8054	3534
695	8066	3523
696	8077	3511
697	8089	3500
698	8100	3488
699	8113	3477
700	8124	3465
701	8135	3453
702	8146	3441
703	8157	3429
704	8167	3417
705	8177	3405
706	8188	3393
707	8199	3381
708	8210	3369
709	8221	3357
710	8232	3346
711	8242	3334
712	8253	3322
713	8264	3310
714	8275	3298
715	8285	3286
716	8296	3274
717	8306	3262
718	8317	3250
719	8327	3238
720	8338	3226
721	8349	3214
722	8359	3202
723	8369	3190
724	8379	3178
725	8391	3166
726	8403	3155
727	8414	3144
728	8426	3132
729	8438	3120
730	8448	3109
731	8460	3097
732	8471	3085
733	8482	3074
734	8493	3062
735	8504	3050
736	8515	3038
737	8527	3027
738	8538	3015
739	8549	3003
740	8561	2992
741	8572	2980
742	8583	2968
743	8594	2957
744	8605	2945
745	8616	2933
746	8628	2922
747	8640	2910
748	8651	2899
749	8663	2887
750	8674	2875
751	8684	2864
752	8696	2852
753	8707	2841
754	8719	2829
755	8729	2817
756	8740	2805
757	8752	2794
758	8763	2782
759	8773	2770
760	8784	2758
761	8796	2747
762	8807	2735
763	8818	2724
764	8830	2712
765	8841	2701
766	8851	2689
767	8863	2677
768	8873	2665
769	8884	2653
770	8895	2642
771	8906	2630
772	8917	2618
773	8928	2606
774	8939	2595
775	8949	2583
776	8959	2571
777	8970	2559
778	8980	2547
779	8991	2536
780	9002	2524
781	9013	2512
782	9024	2501
783	9035	2489
784	9047	2477
785	9058	2466
786	9069	2454
787	9079	2442
788	9090	2430
789	9100	2419
790	9111	2407
791	9122	2395
792	9133	2384
793	9144	2372
794	9154	2360
795	9164	2348
796	9175	2337
797	9185	2325
798	9196	2313
799	9206	2301
800	9216	2289
801	9226	2277
802	9237	2266
803	9248	2254
804	9260	2243
805	9271	2231
806	9281	2219
807	9292	2208
808	9303	2196
809	9313	2184
810	9324	2173
811	9335	2161
812	9346	2149
813	9358	2138
814	9369	2126
815	9381	2115
816	9392	2103
817	9404	2092
818	9415	2080
819	9425	2069
820	9435	2057
821	9446	2045
822	9457	2034
823	9468	2022
824	9480	2011
825	9491	1999
826	9501	1987
827	9512	1975
828	9522	1964
829	9533	1952
830	9544	1940
831	9554	1929
832	9565	1917
833	9576	1906
834	9587	1894
835	9597	1882
836	9608	1871
837	9620	1859
838	9630	1848
839	9642	1836
840	9652	1824
841	9663	1813
842	9675	1801
843	9688	1790
844	9699	1779
845	9710	1767
846	9720	1755
847	9731	1744
848	9741	1732
849	9751	1720
850	9762	1709
851	9772	1697
852	9783	1686
853	9794	1674
854	9805	1662
855	9816	1651
856	9827	1639
857	9837	1628
858	9848	1616
859	9859	1605
860	9870	1593
861	9881	1581
862	9893	1570
863	9908	1559
864	9918	1548
865	9928	1536
866	9939	1524
867	9949	1513
868	9959	1501
869	9969	1489
870	9979	1478
871	9989	1466
872	9999	1454
873	10009	1442
874	10019	1431
875	10029	1419
876	10039	1408
877	10049	1396
878	10059	1384
879	10069	1373
880	10080	1361
881	10090	1350
882	10102	1338
883	10112	1326
884	10122	1315
885	10132	1303
886	10142	1292
887	10152	1280
888	10163	1268
889	10172	1257
890	10182	1245
891	10193	1234
892	10203	1222
893	10213	1211
894	10223	1199
895	10233	1187
896	10244	1176
897	10255	1164
898	10265	1153
899	10276	1141
900	10287	1130
901	10298	1118
902	10308	1107
903	10319	1095
904	10328	1084
905	10340	1072
906	10351	1061
907	10361	1049
908	10372	1038
909	10382	1026
910	10392	1015
911	10402	1003
912	10411	992
913	10422	980
914	10432	969
915	10441	957
916	10452	946
917	10463	934
918	10472	923
919	10482	911
920	10493	900
921	10503	888
922	10514	877
923	10524	865
924	10534	854
925	10544	842
926	10554	831
927	10564	819
928	10574	808
929	10585	796
930	10595	785
931	10604	773
932	10614	762
933	10624	750
934	10633	739
935	10644	727
936	10653	716
937	10664	704
938	10674	693
939	10684	682
940	10694	670
941	10704	659
942	10714	647
943	10725	636
944	10736	624
945	10746	613
946	10756	601
947	10766	590
948	10776	579
949	10786	567
950	10796	556
951	10806	544
952	10815	533
953	10825	522
954	10835	510
955	10845	499
956	10855	487
957	10866	476
958	10876	464
959	10887	453
960	10897	442
961	10907	430
962	10917	419
963	10927	408
964	10939	396
965	10949	385
966	10960	374
967	10969	362
968	10980	351
969	10990	339
970	11000	328
971	11010	317
972	11019	305
973	11029	294
974	11039	283
975	11050	271
976	11059	260
977	11069	249
978	11078	237
979	11088	226
980	11098	214
981	11108	203
982	11118	192
983	11128	180
984	11138	169
985	11149	158
986	11160	147
987	11171	135
988	11181	124
989	11191	113
990	11201	101
991	11212	90
992	11223	79
993	11233	67
994	11242	56
995	11253	45
996	11265	33
997	11274	22
998	11284	11
999	11294	0
