iter	Logloss
0	0.661299934
1	0.6342106939
2	0.6084858241
3	0.5865714487
4	0.5669017956
5	0.5475943596
6	0.5312344459
7	0.514969193
8	0.4994931594
9	0.4850493963
10	0.4726556382
11	0.4621840123
12	0.4518279503
13	0.4434572862
14	0.4332114499
15	0.4237171698
16	0.4160829119
17	0.4093195995
18	0.4019591927
19	0.3966780722
20	0.390297423
21	0.3864092039
22	0.3817750409
23	0.3771680231
24	0.3720110516
25	0.3674922468
26	0.3635775226
27	0.3593650501
28	0.3561635965
29	0.3532729961
30	0.3508078229
31	0.3470805478
32	0.3444521123
33	0.3425803028
34	0.3404825951
35	0.3386443055
36	0.3362932715
37	0.3351498916
38	0.3327638118
39	0.3309654376
40	0.3291094005
41	0.3274543232
42	0.3255433204
43	0.3238239333
44	0.3219290293
45	0.3201489899
46	0.3187594055
47	0.3175954106
48	0.3163724512
49	0.3151519762
50	0.314219176
51	0.3130719312
52	0.3122882962
53	0.3107128063
54	0.3094188892
55	0.3088465692
56	0.307247287
57	0.3063150756
58	0.3056470799
59	0.3047529948
60	0.3041512333
61	0.3030976857
62	0.3021168665
63	0.301266779
64	0.3006703096
65	0.2997357712
66	0.2988951634
67	0.2982334693
68	0.2976531449
69	0.2969294153
70	0.2962173434
71	0.2956916344
72	0.2952360177
73	0.294495549
74	0.2939110865
75	0.2931733332
76	0.2921866237
77	0.2917146108
78	0.2910706138
79	0.2904821631
80	0.2899999479
81	0.2890732558
82	0.2884058355
83	0.2878253598
84	0.2871279504
85	0.2865039189
86	0.2861201382
87	0.285709044
88	0.2851821305
89	0.2848270477
90	0.2844545579
91	0.2840281928
92	0.2832434298
93	0.2823536613
94	0.2819546399
95	0.2816249969
96	0.2812528887
97	0.2808222615
98	0.2802743154
99	0.2800332064
100	0.2796530086
101	0.2792775446
102	0.2783398735
103	0.277973747
104	0.2774795648
105	0.2770661105
106	0.2766398345
107	0.2761490624
108	0.2758664687
109	0.2755414604
110	0.2750856739
111	0.2747682692
112	0.274236316
113	0.2738391527
114	0.2735152454
115	0.2731749666
116	0.2727866601
117	0.2723915056
118	0.2720999599
119	0.2719055929
120	0.2715450602
121	0.2712521734
122	0.2709328731
123	0.270723272
124	0.270226732
125	0.2699188001
126	0.2695923155
127	0.2691017652
128	0.2687454033
129	0.2683262049
130	0.2681273817
131	0.2678677367
132	0.2675519685
133	0.2671316078
134	0.2668165819
135	0.2664983305
136	0.2662989229
137	0.2658059946
138	0.2655434323
139	0.2653355775
140	0.2649081404
141	0.2646284226
142	0.2644407606
143	0.2642666721
144	0.2640453077
145	0.2634324738
146	0.2631361896
147	0.2625664603
148	0.2622763097
149	0.2620414454
150	0.2612329304
151	0.260952825
152	0.2607060257
153	0.260360498
154	0.2600080116
155	0.2597158746
156	0.259486748
157	0.2592521099
158	0.25913693
159	0.258838089
160	0.2584987688
161	0.2582449168
162	0.2579292256
163	0.2576930118
164	0.2574896199
165	0.2573030232
166	0.2570609461
167	0.2567943082
168	0.2565112165
169	0.2562514967
170	0.2558611685
171	0.2555951968
172	0.2553982411
173	0.2550319528
174	0.2547374061
175	0.2543452603
176	0.2541853164
177	0.2537660821
178	0.2534718418
179	0.2532912109
180	0.2530739304
181	0.252786191
182	0.2525508445
183	0.2523730876
184	0.2520352906
185	0.2517562709
186	0.2515100124
187	0.2512636419
188	0.2508156866
189	0.2505244694
190	0.2502713019
191	0.2499841976
192	0.2495016942
193	0.2492476724
194	0.2489383891
195	0.2486804218
196	0.2485455917
197	0.2482375989
198	0.2479595002
199	0.247755613
200	0.2473159675
201	0.2471560172
202	0.2468894954
203	0.2466322932
204	0.2464614187
205	0.2462795064
206	0.245995448
207	0.2457449987
208	0.2455392887
209	0.2453737604
210	0.2450515949
211	0.2448279389
212	0.2446251849
213	0.2441692384
214	0.243944805
215	0.2437616094
216	0.2435183657
217	0.2433667104
218	0.2430478199
219	0.2425166785
220	0.2423258354
221	0.2420941229
222	0.2418016628
223	0.2416591853
224	0.241461671
225	0.2413455764
226	0.2410563837
227	0.2408680457
228	0.2406572307
229	0.2403987696
230	0.2401908804
231	0.2400297925
232	0.2396926174
233	0.2395658394
234	0.2394215906
235	0.239152029
236	0.2389566956
237	0.2387503906
238	0.2385793911
239	0.2383785712
240	0.2381594025
241	0.2379868343
242	0.2377134863
243	0.2375148521
244	0.237262536
245	0.2370564883
246	0.2366558185
247	0.2364683894
248	0.2361307744
249	0.2359023655
250	0.2357516186
251	0.2355778477
252	0.2353972095
253	0.2351794391
254	0.2348577732
255	0.2347481331
256	0.2344622463
257	0.2342252299
258	0.2339779693
259	0.2336913186
260	0.233477649
261	0.2333227714
262	0.2331580331
263	0.2329233491
264	0.2325679615
265	0.2324343922
266	0.2323202073
267	0.2320383566
268	0.2318479585
269	0.2317132257
270	0.23147771
271	0.2311859171
272	0.2310651866
273	0.2308612699
274	0.230721759
275	0.2305609424
276	0.2303730264
277	0.2301996948
278	0.2300373556
279	0.2298266534
280	0.2296364169
281	0.229401169
282	0.2292435389
283	0.229101114
284	0.2289092882
285	0.2286760677
286	0.2285507833
287	0.2282997428
288	0.2280922697
289	0.2279264887
290	0.2276917322
291	0.2274032569
292	0.2272368327
293	0.2268417289
294	0.2266891942
295	0.226522853
296	0.2263840315
297	0.2262363132
298	0.2260348569
299	0.2258701658
300	0.2255897159
301	0.2252796137
302	0.225160198
303	0.2247812794
304	0.2246452524
305	0.2244176072
306	0.2242330119
307	0.2240551563
308	0.2238504049
309	0.2236985842
310	0.2235116493
311	0.22321594
312	0.2229996494
313	0.2228583765
314	0.2226090001
315	0.2224452011
316	0.222309029
317	0.2221594324
318	0.2219875297
319	0.2218271519
320	0.2216661902
321	0.2214247867
322	0.221241944
323	0.2210638658
324	0.2207356936
325	0.2205997061
326	0.2204148726
327	0.2202068454
328	0.2200520779
329	0.219663423
330	0.2193781069
